date,machine_id,temp,helium_pressure,vibration,error_codes,scan_volume,failure_label
2025-03-10,CT_001,61.63,95.84,0.125,1,61,Normal
2025-03-11,MRI_001,68.17,96.24,0.222,0,38,Normal
2025-03-12,CT_001,71.12,99.87,0.019,2,42,Normal
2025-03-13,CT_002,60.98,99.92,0.502,2,34,Normal
2025-03-14,CT_001,66.51,93.4,0.007,0,45,Normal
2025-03-15,MRI_002,62.09,91.96,0.153,0,27,Normal
2025-03-16,CT_002,61.2,95.1,0.157,4,47,Normal
2025-03-17,MRI_002,71.14,91.37,0.501,1,44,Normal
2025-03-18,CT_001,67.79,95.23,0.331,1,30,Normal
2025-03-19,MRI_001,64.44,92.29,0.14,3,52,Normal
2025-03-20,MRI_002,59.54,94.05,0.432,2,41,Normal
2025-03-21,CT_001,62.36,96.09,0.326,1,45,Normal
2025-03-22,CT_002,59.65,92.33,0.144,3,37,Normal
2025-03-23,CT_002,75.78,91.61,0.375,3,40,Maintenance
2025-03-24,MRI_002,62.81,98.5,0.335,1,45,Normal
2025-03-25,CT_001,59.06,93.94,0.095,3,53,Normal
2025-03-26,CT_001,77.32,94.1,0.152,2,45,Normal
2025-03-27,MRI_002,61.95,94.44,0.258,2,45,Normal
2025-03-28,MRI_002,50.56,95.88,0.292,1,32,Normal
2025-03-29,MRI_002,60.17,96.25,0.147,1,39,Normal
2025-03-30,MRI_002,62.18,93.77,0.195,0,32,Normal
2025-03-31,MRI_001,63.06,95.51,0.274,3,40,Normal
2025-04-01,MRI_002,52.23,97.8,0.045,2,37,Normal
2025-04-02,CT_002,69.39,97.29,0.246,1,38,Normal
2025-04-03,MRI_002,69.32,92.61,0.266,1,28,Normal
2025-04-04,MRI_001,60.03,94.91,0.044,1,60,Normal
2025-04-05,MRI_001,59.03,94.88,0.425,2,31,Normal
2025-04-06,MRI_002,72.36,94.37,0.15,2,50,Normal
2025-04-07,CT_002,64.56,97.76,0.462,3,52,Normal
2025-04-08,MRI_002,59.04,95.19,0.263,1,57,Normal
2025-04-09,MRI_001,66.18,93.64,0.13,1,52,Normal
2025-04-10,CT_002,68.4,98.47,0.182,0,35,Normal
2025-04-11,CT_001,70.93,97.16,0.399,2,32,Normal
2025-04-12,CT_002,66.41,92.22,0.346,1,52,Normal
2025-04-13,CT_002,72.28,100.4,0.362,1,45,Monitor
2025-04-14,CT_002,67.78,94.37,0.161,2,27,Monitor
2025-04-15,CT_002,63.89,94.17,0.296,5,48,Normal
2025-04-16,MRI_002,63.76,99.82,0.324,2,47,Normal
2025-04-17,CT_001,66.63,95.09,0.236,2,39,Normal
2025-04-18,CT_002,71.19,95.06,0.296,2,57,Normal
2025-04-19,CT_001,74.06,96.87,0.299,1,49,Normal
2025-04-20,CT_001,63.75,94.94,0.374,1,30,Normal
2025-04-21,CT_001,71.44,93.73,0.289,2,25,Normal
2025-04-22,MRI_001,70.98,93.17,0.23,1,40,Normal
2025-04-23,MRI_002,61.08,96.94,0.232,1,44,Normal
2025-04-24,MRI_002,68.61,93.88,0.509,3,36,Normal
2025-04-25,MRI_001,57.37,98.79,0.167,1,65,Normal
2025-04-26,CT_001,72.71,101.02,0.559,3,52,Normal
2025-04-27,CT_002,60.91,94.99,0.224,4,35,Normal
2025-04-28,CT_002,62.84,92.34,0.124,1,38,Normal
2025-04-29,MRI_001,65.95,96.73,0.529,1,29,Normal
2025-04-30,CT_002,70.74,94.09,0.43,1,20,Normal
2025-01-01,CT_001,57.95,91.48,0.171,3,47,Normal
2025-01-02,CT_002,70.16,94.42,0.195,3,44,Normal
2025-01-03,CT_002,66.03,93.86,0.181,2,38,Normal
2025-01-04,MRI_002,60.01,95.91,0.365,1,52,Normal
2025-01-05,CT_001,64.5,94.39,0.118,2,31,Normal
2025-01-06,MRI_001,63.48,99.7,0.171,0,39,Normal
2025-01-07,CT_002,52.88,97.65,0.361,0,37,Normal
2025-01-08,CT_002,66.24,95.26,0.355,0,40,Normal
2025-01-09,MRI_001,57.19,93.41,0.369,1,27,Normal
2025-01-10,MRI_001,67.33,94.89,0.008,0,51,Normal
2025-01-11,CT_002,62.87,93.37,0.345,2,35,Normal
2025-01-12,CT_002,67.14,97.08,0.276,1,36,Normal
2025-01-13,CT_001,59.64,86.24,0.315,2,49,Normal
2025-01-14,MRI_002,61.45,95.22,0.46,1,40,Normal
2025-01-15,CT_001,61.86,96.81,0.144,2,34,Normal
2025-01-16,CT_002,66.62,94.24,0.206,2,24,Normal
2025-01-17,CT_002,64.69,92.79,0.263,1,48,Normal
2025-01-18,MRI_001,70.19,96.52,0.446,2,34,Normal
2025-01-19,MRI_001,69.6,93.0,0.531,4,50,Normal
2025-01-20,CT_001,69.91,96.97,0.375,3,35,Normal
2025-01-21,MRI_001,62.27,93.45,0.295,1,47,Normal
2025-01-22,MRI_001,61.32,95.61,0.279,4,42,Normal
2025-01-23,MRI_002,59.69,96.28,0.222,1,49,Normal
2025-01-24,MRI_001,70.94,102.77,0.337,0,43,Normal
2025-01-25,MRI_002,60.97,96.79,0.291,2,43,Normal
2025-01-26,MRI_001,71.59,94.65,0.068,3,33,Normal
2025-01-27,MRI_002,69.2,96.64,0.214,1,36,Normal
2025-01-28,CT_001,73.08,94.03,0.433,4,55,Monitor
2025-01-29,MRI_002,66.86,92.63,0.429,0,28,Normal
2025-01-30,MRI_001,66.42,94.22,0.338,2,35,Normal
2025-01-31,MRI_002,55.32,95.38,0.404,5,26,Normal
2025-02-01,MRI_001,66.36,96.95,0.105,3,41,Normal
2025-02-02,CT_001,66.26,94.81,0.222,0,30,Normal
2025-02-03,CT_002,66.66,95.57,0.356,4,35,Normal
2025-02-04,MRI_002,69.44,93.42,0.349,0,36,Normal
2025-02-05,MRI_002,66.84,100.51,0.216,0,36,Normal
2025-02-06,CT_001,55.57,94.11,0.009,2,47,Normal
2025-02-07,MRI_001,69.75,100.13,0.234,1,38,Normal
2025-02-08,MRI_001,65.35,98.49,0.111,0,42,Normal
2025-02-09,CT_002,66.33,96.93,0.348,2,66,Normal
2025-02-10,MRI_001,67.56,99.12,0.229,4,49,Normal
2025-02-11,CT_001,60.17,95.09,0.212,5,15,Normal
2025-02-12,CT_002,64.47,94.45,0.184,0,17,Normal
2025-02-13,MRI_001,62.85,92.92,0.039,2,39,Normal
2025-02-14,CT_001,63.98,95.02,0.413,2,34,Normal
2025-02-15,CT_002,64.2,97.01,0.282,0,32,Normal
2025-02-16,CT_002,65.52,88.51,0.247,2,50,Normal
2025-02-17,CT_001,61.46,90.46,0.02,3,24,Normal
2025-02-18,CT_002,62.58,95.44,0.492,0,48,Normal
2025-02-19,CT_001,60.84,88.37,0.117,2,36,Normal
2025-02-20,MRI_002,63.88,93.05,0.275,3,44,Normal
2025-02-21,MRI_001,68.54,95.7,0.393,1,42,Normal
2025-02-22,CT_002,59.28,95.33,0.245,2,37,Normal
2025-02-23,CT_002,55.2,97.2,0.378,4,52,Normal
2025-02-24,CT_002,70.0,92.99,0.459,4,37,Normal
2025-02-25,CT_002,55.82,98.51,0.488,2,47,Normal
2025-02-26,MRI_002,59.47,94.36,0.204,1,47,Normal
2025-02-27,CT_001,71.55,99.19,0.166,1,37,Normal
2025-02-28,CT_001,69.82,99.85,0.065,3,34,Normal
2025-03-01,CT_001,62.63,94.96,0.332,1,40,Normal
2025-03-02,MRI_002,64.56,93.89,0.211,2,55,Normal
2025-03-03,CT_002,64.53,95.69,0.286,4,49,Normal
2025-03-04,MRI_002,57.15,91.62,0.071,4,41,Normal
2025-03-05,CT_002,59.68,92.38,0.061,3,31,Normal
2025-03-06,MRI_001,64.14,91.68,0.219,4,63,Normal
2025-03-07,MRI_002,58.85,96.49,0.18,2,38,Normal
2025-03-08,MRI_002,66.33,100.31,0.196,4,42,Normal
2025-03-09,CT_001,66.89,94.91,0.419,2,39,Normal
2025-03-10,CT_001,68.2,92.82,0.286,4,15,Normal
2025-03-11,CT_001,67.61,96.94,0.333,1,40,Normal
2025-03-12,CT_002,64.03,98.4,0.339,2,10,Normal
2025-03-13,CT_001,74.79,94.28,0.393,0,51,Normal
2025-03-14,MRI_002,60.14,90.86,0.156,2,48,Normal
2025-03-15,MRI_002,62.32,97.57,0.327,1,47,Normal
2025-03-16,CT_002,68.49,98.55,0.338,1,44,Normal
2025-03-17,CT_001,60.9,94.93,0.004,0,23,Normal
2025-03-18,MRI_002,61.04,94.08,0.034,0,42,Normal
2025-03-19,CT_001,72.28,95.01,0.223,0,40,Normal
2025-03-20,MRI_001,56.96,92.71,0.135,4,30,Normal
2025-03-21,MRI_002,57.3,94.6,0.262,3,40,Normal
2025-03-22,MRI_001,65.04,98.01,0.578,1,27,Normal
2025-03-23,MRI_002,59.47,97.35,0.377,3,45,Normal
2025-03-24,CT_002,61.31,97.67,0.025,0,39,Normal
2025-03-25,MRI_001,62.38,95.46,0.127,0,51,Normal
2025-03-26,CT_002,61.87,95.05,0.393,0,29,Normal
2025-03-27,CT_001,69.13,92.4,0.151,1,36,Normal
2025-03-28,MRI_001,62.62,97.62,0.289,4,41,Normal
2025-03-29,CT_002,64.67,100.95,0.485,1,26,Normal
2025-03-30,MRI_001,67.61,92.55,0.279,4,40,Normal
2025-03-31,MRI_001,68.08,98.61,0.229,3,35,Normal
2025-04-01,MRI_001,62.25,91.34,0.174,4,38,Normal
2025-04-02,CT_001,63.15,101.31,0.209,2,43,Normal
2025-04-03,MRI_002,66.88,92.29,0.12,3,51,Normal
2025-04-04,CT_002,63.36,96.81,0.168,0,38,Normal
2025-04-05,MRI_002,56.28,95.36,0.021,0,28,Normal
2025-04-06,CT_002,63.86,92.02,0.134,2,38,Normal
2025-04-07,CT_002,67.69,94.87,0.553,3,42,Normal
2025-04-08,CT_002,63.81,95.58,0.397,2,32,Normal
2025-04-09,MRI_001,65.82,95.15,0.276,3,42,Normal
2025-04-10,MRI_001,64.48,90.07,0.224,0,56,Normal
2025-04-11,MRI_002,67.69,95.15,0.219,1,33,Normal
2025-04-12,CT_001,66.69,92.02,0.309,1,54,Normal
2025-04-13,MRI_002,58.51,99.73,0.074,2,48,Normal
2025-04-14,MRI_001,69.94,94.77,0.202,1,41,Normal
2025-04-15,CT_002,60.82,101.27,0.009,2,41,Normal
2025-04-16,CT_002,69.21,93.15,0.578,1,21,Normal
2025-04-17,MRI_002,64.0,91.3,0.317,2,43,Normal
2025-04-18,CT_001,57.01,96.39,0.554,0,26,Normal
2025-04-19,CT_002,65.81,95.12,0.332,6,34,Normal
2025-04-20,MRI_002,74.02,94.43,0.358,1,27,Monitor
2025-04-21,MRI_002,72.42,96.07,0.203,0,39,Normal
2025-04-22,MRI_002,68.09,94.38,0.344,1,27,Normal
2025-04-23,CT_001,67.35,97.14,0.227,0,31,Normal
2025-04-24,MRI_001,75.5,94.26,0.196,3,33,Normal
2025-04-25,CT_001,61.75,98.96,0.463,5,33,Normal
2025-04-26,CT_001,55.15,97.68,0.068,2,47,Normal
2025-04-27,CT_002,57.37,95.1,0.282,3,38,Normal
2025-04-28,CT_002,67.75,102.9,0.129,4,49,Normal
2025-04-29,CT_002,64.36,99.53,0.032,1,39,Normal
2025-04-30,MRI_001,69.43,93.74,0.141,4,41,Normal
2025-01-01,CT_001,60.24,96.27,0.266,1,50,Normal
2025-01-02,MRI_001,68.45,87.32,0.14,1,29,Normal
2025-01-03,MRI_001,71.09,97.46,0.212,1,51,Normal
2025-01-04,CT_001,69.32,96.74,0.181,5,28,Normal
2025-01-05,MRI_002,62.01,95.69,0.52,1,43,Normal
2025-01-06,CT_002,67.84,95.32,0.012,2,47,Normal
2025-01-07,MRI_002,74.98,104.33,0.341,5,38,Monitor
2025-01-08,CT_002,68.33,96.26,0.376,1,33,Normal
2025-01-09,CT_002,67.2,97.34,0.319,3,56,Normal
2025-01-10,CT_002,68.48,97.55,0.206,1,39,Normal
2025-01-11,CT_001,57.41,93.93,0.384,2,45,Normal
2025-01-12,MRI_001,74.1,95.12,0.214,3,42,Monitor
2025-01-13,CT_001,59.41,91.96,0.306,2,48,Normal
2025-01-14,CT_002,71.06,95.78,0.195,2,41,Normal
2025-01-15,CT_002,71.25,90.45,0.433,1,31,Normal
2025-01-16,MRI_001,61.48,97.8,0.522,1,33,Normal
2025-01-17,CT_001,67.71,94.54,0.458,1,51,Normal
2025-01-18,MRI_001,72.6,93.52,0.206,1,34,Monitor
2025-01-19,CT_002,58.36,95.23,0.477,2,33,Monitor
2025-01-20,MRI_001,57.52,93.05,0.237,1,25,Normal
2025-01-21,CT_002,66.04,95.21,0.142,0,41,Normal
2025-01-22,MRI_002,64.58,95.56,0.28,2,31,Normal
2025-01-23,CT_002,69.06,91.56,0.373,1,55,Normal
2025-01-24,MRI_001,70.09,95.81,0.333,1,43,Normal
2025-01-25,MRI_002,70.24,98.51,0.216,2,39,Normal
2025-01-26,CT_002,64.45,96.49,0.192,2,44,Normal
2025-01-27,CT_002,64.88,94.48,0.284,2,36,Normal
2025-01-28,MRI_002,73.39,93.52,0.252,2,39,Monitor
2025-01-29,CT_001,62.49,95.79,0.294,1,37,Normal
2025-01-30,CT_002,61.08,92.93,0.113,0,31,Normal
2025-01-31,MRI_001,73.53,94.1,0.492,0,49,Normal
2025-02-01,MRI_001,67.5,96.42,0.261,1,47,Normal
2025-02-02,MRI_002,69.35,97.66,0.136,3,40,Normal
2025-02-03,CT_001,61.07,90.86,0.296,3,47,Normal
2025-02-04,CT_001,61.97,100.16,0.549,1,32,Normal
2025-02-05,CT_002,62.25,97.58,0.192,2,39,Normal
2025-02-06,MRI_002,68.97,94.95,0.288,2,36,Normal
2025-02-07,MRI_002,63.61,94.16,0.369,2,43,Normal
2025-02-08,MRI_002,59.96,91.65,0.265,2,23,Normal
2025-02-09,CT_001,67.41,96.64,0.332,2,37,Normal
2025-02-10,CT_002,68.54,95.03,0.41,1,18,Normal
2025-02-11,CT_001,67.09,97.54,0.276,3,41,Normal
2025-02-12,CT_001,60.06,96.6,0.094,0,47,Normal
2025-02-13,CT_002,69.88,97.76,0.063,0,40,Normal
2025-02-14,CT_002,63.59,96.27,0.133,1,37,Normal
2025-02-15,CT_001,57.91,96.8,0.228,1,34,Normal
2025-02-16,CT_002,65.56,96.34,0.064,3,54,Normal
2025-02-17,CT_001,65.0,91.11,0.402,2,37,Normal
2025-02-18,MRI_002,60.37,95.77,0.116,2,35,Normal
2025-02-19,MRI_002,64.34,95.53,0.153,0,42,Normal
2025-02-20,CT_002,78.1,91.66,0.47,1,49,Normal
2025-02-21,CT_002,66.4,100.28,0.306,3,43,Normal
2025-02-22,CT_002,58.4,94.39,0.13,3,39,Normal
2025-02-23,MRI_002,69.24,88.26,0.159,2,42,Normal
2025-02-24,MRI_001,59.61,92.93,0.062,0,25,Normal
2025-02-25,CT_001,61.98,88.38,0.385,1,52,Monitor
2025-02-26,CT_002,68.26,91.59,0.22,3,39,Normal
2025-02-27,CT_002,67.29,99.37,0.356,2,47,Normal
2025-02-28,MRI_002,70.37,99.58,0.142,2,45,Normal
2025-03-01,MRI_002,65.99,95.93,0.505,3,50,Normal
2025-03-02,CT_001,74.05,94.35,0.123,1,33,Normal
2025-03-03,CT_002,63.15,90.78,0.252,1,49,Normal
2025-03-04,CT_001,60.46,99.56,0.327,3,50,Normal
2025-03-05,CT_002,65.86,96.66,0.074,1,31,Normal
2025-03-06,CT_002,67.32,90.9,0.377,3,27,Normal
2025-03-07,MRI_001,66.3,93.38,0.099,0,20,Normal
2025-03-08,MRI_002,63.34,96.47,0.169,4,40,Normal
